product_name,category,subcategory,price,product_url,source_url,item_type,description,target_age,technical_specifications,specifications
Balloons,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Pop the balloons by touching them before they fly away! Balloons is a simple and intuitive game that develops hand-eye coordination and touch screen interaction skills.,1+,,
Bubbles,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Touch the bubbles to pop them! Bubbles is a calming and engaging activity that encourages exploration and cause-and-effect understanding.,1+,,
Coloring Book,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,A digital coloring book where children can color pre-drawn images using a palette of colors. Encourages creativity and fine motor skills.,3+,,
Connect the Dots,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Connect numbered dots to reveal hidden pictures. This classic activity helps children learn number sequences and develop fine motor skills.,3+,,
Drums,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Play the drums by tapping on the screen! Drums is a musical activity that encourages rhythm, creativity, and auditory development.",1+,,
Finger Paint,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Paint freely on the screen using your fingers. Finger Paint is an open-ended creative activity that encourages artistic expression and sensory exploration.,1+,,
Fireworks,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Touch the screen to launch colorful fireworks! Fireworks is a visually stimulating activity that encourages cause-and-effect exploration.,1+,,
Fish,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Interact with colorful fish swimming on the screen. Touch them to see them react! Fish is a calming and engaging sensory activity.,1+,,
Flashcards,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Learn new words and concepts with illustrated flashcards. Flashcards supports vocabulary development and early literacy skills.,2+,,
Jigsaw Puzzle,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Assemble jigsaw puzzles by dragging and dropping pieces into place. Jigsaw Puzzle develops problem-solving skills and spatial reasoning.,3+,,
Kaleidoscope,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Create beautiful kaleidoscope patterns by touching the screen. Kaleidoscope is a mesmerizing visual activity that encourages creativity and sensory exploration.,All ages,,
Keyboard,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Play music on a virtual keyboard. Keyboard is a musical activity that introduces children to notes, melodies, and musical creativity.",2+,,
Matching Game,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Match pairs of cards in this classic memory game. Matching Game develops memory, concentration, and cognitive skills.",3+,,
Maze,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Navigate through mazes by tracing a path with your finger. Maze develops problem-solving skills, spatial reasoning, and fine motor control.",4+,,
Music,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Explore music and sounds in an interactive musical environment. Music encourages auditory development, rhythm, and creative expression.",1+,,
Paint,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Create artwork using a variety of digital painting tools. Paint encourages artistic expression, creativity, and fine motor skill development.",3+,,
Puzzle,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Solve puzzles by placing pieces in the correct locations. Puzzle develops problem-solving, spatial reasoning, and hand-eye coordination.",2+,,
Sand,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Draw and play in virtual sand. Sand is a sensory activity that simulates the tactile experience of playing in sand, encouraging creativity and exploration.",1+,,
Shapes,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Learn about shapes by sorting and matching them. Shapes develops shape recognition, problem-solving, and early math skills.",2+,,
Simon Says,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Follow the light and sound patterns in this classic memory game. Simon Says develops memory, attention, and sequential thinking skills.",3+,,
Slide Show,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,View a slideshow of images and photos. Slide Show is a simple and engaging activity that can be customized with personal or educational content.,All ages,,
Snowflakes,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Create beautiful snowflake patterns by touching the screen. Snowflakes is a visually engaging activity that encourages creativity and sensory exploration.,All ages,,
Sorting,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Sort objects by color, shape, or size. Sorting develops categorization skills, logical thinking, and early math concepts.",2+,,
Tic-Tac-Toe,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Play the classic Tic-Tac-Toe game against a friend or the computer. Tic-Tac-Toe develops strategic thinking and problem-solving skills.,4+,,
Tracing,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Trace letters, numbers, and shapes to develop pre-writing skills. Tracing helps children learn proper stroke order and fine motor control.",3+,,
Water,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,Interact with virtual water by touching the screen. Water is a calming sensory activity that simulates the experience of playing with water.,1+,,
Xylophone,Apps,Apps *,N/A,https://play-lu.com/applications/,Apps *,app,"Play music on a virtual xylophone. Xylophone is a musical activity that introduces children to notes, melodies, and musical creativity.",1+,,
Üno,Configurations,Configurations *,N/A,https://play-lu.com/uno/,Configurations *,configuration,,,"55"" 4K UHD touchscreen display | 10-point multi-touch | Integrated computer | Lü software pre-installed | Adjustable height stand | Landscape orientation",
Düo,Configurations,Configurations *,N/A,https://play-lu.com/duo/,Configurations *,configuration,,,"Two 55"" 4K UHD touchscreen displays | 10-point multi-touch per screen | Integrated computer | Lü software pre-installed | Adjustable height stand | Landscape orientation | Dual-screen interactive experience",
Möve,Configurations,Configurations *,N/A,https://play-lu.com/move/,Configurations *,configuration,,,"55"" 4K UHD touchscreen display | 10-point multi-touch | Integrated computer | Lü software pre-installed | Mobile stand with wheels | Landscape orientation | Portable and easy to move",
